team,rank,average_rank,CT μ-map MAE value,CT μ-map MAE rank,Brain Outlier Score value,Brain Outlier Score rank,Organ Bias (MARE) value,Organ Bias (MARE) rank,Whole-body SUV MAE value,Whole-body SUV MAE rank
DreamLab,1st,4.0,0.00595,12th,0.0130,2nd,1.8319,1st,0.0272,1st
ntkhoa,1st,4.0,0.00578,7th,0.0201,5th,1.8544,2nd,0.0275,2nd
CMIT,3rd,4.25,0.00585,9th,0.0125,1st,1.9199,3rd,0.0290,4th
mhamidasn,4th,4.5,0.00552,2nd,0.0167,3rd,2.2775,7th,0.0302,6th
VUB-ETRO,5th,5.75,0.00578,6th,0.0186,4th,2.1086,6th,0.0302,7th
heyufan1995,6th,6.25,0.00570,3rd,0.0265,9th,2.2910,8th,0.0301,5th
TUM,6th,6.25,0.00591,10th,0.0249,8th,1.9454,4th,0.0284,3rd
bic-manc,8th,7.0,0.00571,4th,0.0210,6th,2.3103,9th,0.0318,9th
mbeguin,9th,9.5,0.00660,16th,0.0229,7th,1.9818,5th,0.0327,10th
NTUA,10th,9.75,0.00591,11th,0.0308,10th,2.4272,10th,0.0317,8th
fauprl,11th,11.25,0.00533,1st,0.0569,15th,3.5524,16th,0.0397,13th
UniMuForge,12th,11.5,0.00618,13th,0.0382,11th,2.5954,11th,0.0344,11th
LLATMU,13th,13.0,0.00654,15th,0.0459,13th,2.7655,12th,0.0368,12th
Stellar,14th,14.0,0.00579,8th,0.0543,14th,4.3012,17th,0.0461,17th
3DV-BIC,15th,14.25,0.00575,5th,0.0570,16th,5.0629,18th,0.0537,18th
I3M,16th,14.75,0.00674,17th,0.0416,12th,3.1954,14th,0.0424,16th
Mrlonely,17th,15.0,0.00651,14th,0.0682,17th,3.4755,15th,0.0404,14th
nikonsta,18th,16.0,0.00723,18th,0.1065,18th,3.1459,13th,0.0422,15th
